FID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SRC_AGY2,ECOZONE,ECOZ_REF,ECOZ_NAME,ECOZ_NOM
0,BC,1953-G00041, ,59.963000000000001,-128.172000000000000,1953,5,26,1953-05-26 00:00:00,,,1950-1959,8.000000000000000,H, ,Fire, ,BC-1953-1953-G00041, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
1,BC,1950-R00028, ,59.317999999999998,-132.172000000000000,1950,6,22,1950-06-22 00:00:00,,,1950-1959,8.000000000000000,L, ,Fire, ,BC-1950-1950-R00028, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
2,BC,1950-G00026, ,59.875999999999998,-131.922000000000000,1950,6,4,1950-06-04 00:00:00,,,1950-1959,12949.900000000000000,H, ,Fire, ,BC-1950-1950-G00026, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
3,BC,1951-R00097, ,59.759999999999998,-132.807999999999990,1951,7,15,1951-07-15 00:00:00,,,1950-1959,241.099999999999990,H, ,Fire, ,BC-1951-1951-R00097, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
4,BC,1952-G00116, ,59.433999999999997,-126.172000000000000,1952,6,12,1952-06-12 00:00:00,,,1950-1959,1.200000000000000,H, ,Fire, ,BC-1952-1952-G00116, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
5,BC,1951-R00100, ,59.963000000000001,-136.502000000000010,1951,8,1,1951-08-01 00:00:00,,,1950-1959,194.199999999999990,H, ,Fire, ,BC-1951-1951-R00100, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
6,BC,1952-G00211, ,59.597000000000001,-126.727999999999990,1952,8,11,1952-08-11 00:00:00,,,1950-1959,0.600000000000000,H, ,Fire, ,BC-1952-1952-G00211, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
7,BC,1950-G00035, ,57.463000000000001,-122.816000000000000,1950,6,14,1950-06-14 00:00:00,,,1950-1959,2071.900000000000100,L, ,Fire, ,BC-1950-1950-G00035, , ,2020-05-05 00:00:00,BC,4,4,Taiga Plain,Taiga des plaines
8,BC,1950-G00039, ,57.125999999999998,-122.762000000000000,1950,6,13,1950-06-13 00:00:00,,,1950-1959,0.100000000000000,H, ,Fire, ,BC-1950-1950-G00039, , ,2020-05-05 00:00:00,BC,4,4,Taiga Plain,Taiga des plaines
9,BC,1953-G00043, ,57.683999999999997,-121.925000000000000,1953,5,1,1953-05-01 00:00:00,,,1950-1959,7834.699999999999800,H, ,Fire, ,BC-1953-1953-G00043, , ,2020-05-05 00:00:00,BC,4,4,Taiga Plain,Taiga des plaines
