x,y,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,CLIMATE_IDENTIFIER,TOTAL_RAIN_FLAG,LOCAL_DATE,MIN_TEMPERATURE_FLAG,ID,TOTAL_RAIN,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION,SPEED_MAX_GUST,STATION_NAME,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,TOTAL_SNOW,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,LOCAL_DAY,LOCAL_MONTH,SNOW_ON_GROUND_FLAG,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST,PROVINCE_CODE
-85.83333333333333,47.333333333333336,,,6041222,M,2016-05-01 00:00:00,,6041222.2016.5.1,,,13.3,,56,CARIBOU ISLAND (AUT),,0,9.5,,8.5,,,,,,,,3.7,M,2016,1,5,,M,5,ON
-85.83333333333333,47.333333333333336,,,6041222,M,2016-05-02 00:00:00,,6041222.2016.5.2,,,9.2,,37,CARIBOU ISLAND (AUT),,0,12,,6,,,,,,,,2.8,M,2016,2,5,,M,5,ON
-85.83333333333333,47.333333333333336,,,6041222,M,2016-05-03 00:00:00,,6041222.2016.5.3,,,7.9,,37,CARIBOU ISLAND (AUT),,0,12.5,,5.5,,,,,,,,3.1,M,2016,3,5,,M,18,ON
-85.83333333333333,47.333333333333336,,,6041222,M,2016-05-04 00:00:00,,6041222.2016.5.4,,,6,,41,CARIBOU ISLAND (AUT),,0,13.8,,4.2,,,,,,,,2.4,M,2016,4,5,,M,4,ON
-85.83333333333333,47.333333333333336,,,6041222,M,2016-05-05 00:00:00,,6041222.2016.5.5,,,5.8,,35,CARIBOU ISLAND (AUT),,0,14.1,,3.9,,,,,,,,2,M,2016,5,5,,M,5,ON
-85.83333333333333,47.333333333333336,,,6041222,M,2016-05-06 00:00:00,,6041222.2016.5.6,,,14,,74,CARIBOU ISLAND (AUT),,0,9,,9,,,,,,,,3.9,M,2016,6,5,,M,30,ON
-85.83333333333333,47.333333333333336,,,6041222,M,2016-05-07 00:00:00,,6041222.2016.5.7,,,6,,54,CARIBOU ISLAND (AUT),,0,13.2,,4.8,,,,,,,,3.5,M,2016,7,5,,M,34,ON
-85.83333333333333,47.333333333333336,,,6041222,M,2016-05-08 00:00:00,,6041222.2016.5.8,,,7.7,,35,CARIBOU ISLAND (AUT),,0,12.6,,5.4,,,,,,,,3,M,2016,8,5,,M,4,ON
-85.83333333333333,47.333333333333336,,,6041222,M,2016-05-09 00:00:00,,6041222.2016.5.9,,,11.2,,0,CARIBOU ISLAND (AUT),,0,11.5,,6.5,,,,,,,,1.7,M,2016,9,5,,M,0,ON
-85.83333333333333,47.333333333333336,,,6041222,M,2016-05-10 00:00:00,,6041222.2016.5.10,,,12.2,,32,CARIBOU ISLAND (AUT),,0,10,,8,,,,,,,,3.7,M,2016,10,5,,M,9,ON
-85.83333333333333,47.333333333333336,M,,6041222,M,2016-05-11 00:00:00,E,6041222.2016.5.11,,,,,35,CARIBOU ISLAND (AUT),,,,M,,M,,,,,,M,4.5,M,2016,11,5,,M,14,ON
-85.83333333333333,47.333333333333336,,,6041222,M,2016-05-12 00:00:00,,6041222.2016.5.12,,,7.2,,32,CARIBOU ISLAND (AUT),,0,12.6,,5.4,,,,,,,,3.6,M,2016,12,5,,M,14,ON
-85.83333333333333,47.333333333333336,,,6041222,M,2016-05-13 00:00:00,,6041222.2016.5.13,,,6,,41,CARIBOU ISLAND (AUT),,0,13.3,,4.7,,,,,,,,3.3,M,2016,13,5,,M,29,ON
-85.83333333333333,47.333333333333336,,,6041222,M,2016-05-14 00:00:00,,6041222.2016.5.14,,,3.4,,50,CARIBOU ISLAND (AUT),,0,15.6,,2.4,,,,,,,,1.3,M,2016,14,5,,M,33,ON
-85.83333333333333,47.333333333333336,,,6041222,M,2016-05-15 00:00:00,,6041222.2016.5.15,,,4.8,,41,CARIBOU ISLAND (AUT),,0,15.1,,2.9,,,,,,,,0.9,M,2016,15,5,,M,1,ON
