x,y,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS,LOCAL_YEAR,LOCAL_DATE,MIN_REL_HUMIDITY,TOTAL_SNOW,STATION_NAME,ID,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,MEAN_TEMPERATURE,LOCAL_DAY,SPEED_MAX_GUST,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,PROVINCE_CODE,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS,SNOW_ON_GROUND,LOCAL_MONTH,SPEED_MAX_GUST_FLAG
-80.41666666666667,43.65,,9.9,2016,2016-05-02 00:00:00,,,ELORA RCS,6142286.2016.5.2,,,12.9,8.1,2,41,3.2,6142286,,,,,,3,M,0.6,,,ON,,,M,0,,5,
-80.41666666666667,43.65,,9.8,2016,2016-05-03 00:00:00,,,ELORA RCS,6142286.2016.5.3,,,13.6,8.2,3,0,2.8,6142286,,,,,,0,M,0.8,,,ON,,,M,0,,5,
-80.41666666666667,43.65,,8.7,2016,2016-05-04 00:00:00,,,ELORA RCS,6142286.2016.5.4,,,15.7,9.3,4,33,2.9,6142286,,,,,,14,M,1.8,,,ON,,,M,0,,5,
-80.41666666666667,43.65,,7.8,2016,2016-05-05 00:00:00,,,ELORA RCS,6142286.2016.5.5,,,15.5,10.2,5,35,4.8,6142286,,,,,,7,M,0.6,,,ON,,,M,0,,5,
-80.41666666666667,43.65,,4.8,2016,2016-05-06 00:00:00,,,ELORA RCS,6142286.2016.5.6,,,20.5,13.2,6,35,5.9,6142286,,,,,,5,M,0,,,ON,,,M,0,,5,
-80.41666666666667,43.65,,7.6,2016,2016-05-07 00:00:00,,,ELORA RCS,6142286.2016.5.7,,,17.9,10.4,7,46,2.9,6142286,,,,,,32,M,3,,,ON,,,M,0,,5,
-80.41666666666667,43.65,,11.4,2016,2016-05-08 00:00:00,,,ELORA RCS,6142286.2016.5.8,,,13.2,6.6,8,54,-0.1,6142286,,,,,,29,M,1.7,,,ON,,,M,0,,5,
-80.41666666666667,43.65,,11.7,2016,2016-05-09 00:00:00,,,ELORA RCS,6142286.2016.5.9,,,13.3,6.3,9,0,-0.7,6142286,,,,,,0,M,2.1,,,ON,,,M,0,,5,
-80.41666666666667,43.65,,9.9,2016,2016-05-10 00:00:00,,,ELORA RCS,6142286.2016.5.10,,,15.2,8.1,10,0,1,6142286,,,,,,0,M,4.8,,,ON,,,M,0,,5,
-80.41666666666667,43.65,,7.2,2016,2016-05-11 00:00:00,,,ELORA RCS,6142286.2016.5.11,,,19.8,10.8,11,37,1.8,6142286,,,,,,10,M,0,,,ON,,,M,0,,5,
