x,y,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,CLIMATE_IDENTIFIER,TOTAL_RAIN_FLAG,LOCAL_DATE,MIN_TEMPERATURE_FLAG,ID,TOTAL_RAIN,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION,SPEED_MAX_GUST,STATION_NAME,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,TOTAL_SNOW,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,LOCAL_DAY,LOCAL_MONTH,SNOW_ON_GROUND_FLAG,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST,PROVINCE_CODE
-82.43194444444444,52.9275,,,6010400,M,2015-01-08 00:00:00,,6010400.2015.1.8,,,-16.6,0,35,ATTAWAPISKAT A,,0,39.1,,-21.1,,,,,,,,-25.6,,2015,8,1,,M,28,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-09 00:00:00,,6010400.2015.1.9,,,-22.6,0,39,ATTAWAPISKAT A,,0,44.4,,-26.4,,,,,,,,-30.1,,2015,9,1,,M,26,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-10 00:00:00,,6010400.2015.1.10,,,-21.6,0,33,ATTAWAPISKAT A,,0,43.8,,-25.8,,,,,,,,-30,,2015,10,1,,M,27,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-11 00:00:00,,6010400.2015.1.11,,,-22.4,0,0,ATTAWAPISKAT A,,0,44.5,,-26.5,,,,,,,,-30.6,,2015,11,1,,M,0,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-12 00:00:00,,6010400.2015.1.12,,,-21.8,0,48,ATTAWAPISKAT A,,0,43.6,,-25.6,,,,,,,,-29.3,,2015,12,1,,M,23,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-13 00:00:00,,6010400.2015.1.13,,,-11.1,0,46,ATTAWAPISKAT A,,0,34.5,,-16.5,,,,,,,,-21.8,,2015,13,1,,M,23,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-14 00:00:00,,6010400.2015.1.14,,,-12.6,0.3,0,ATTAWAPISKAT A,,0,35.8,,-17.8,,,,,,,,-23,,2015,14,1,,M,0,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-15 00:00:00,,6010400.2015.1.15,,,-14,1.3,56,ATTAWAPISKAT A,,0,38.3,,-20.3,,,,,,,,-26.5,,2015,15,1,,M,32,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-16 00:00:00,,6010400.2015.1.16,,,-25,0,33,ATTAWAPISKAT A,,0,47,,-29,,,,,,,,-32.9,,2015,16,1,,M,31,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-17 00:00:00,,6010400.2015.1.17,,,-15.3,0,46,ATTAWAPISKAT A,,0,41.3,,-23.3,,,,,,,,-31.3,T,2015,17,1,,M,13,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-18 00:00:00,,6010400.2015.1.18,,,-15.4,0,39,ATTAWAPISKAT A,,0,40.8,,-22.8,,,,,,,,-30.1,,2015,18,1,,M,1,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-19 00:00:00,,6010400.2015.1.19,,,-20.4,0,0,ATTAWAPISKAT A,,0,45.9,,-27.9,,,,,,,,-35.3,,2015,19,1,,M,0,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-20 00:00:00,,6010400.2015.1.20,,,-18.3,0,0,ATTAWAPISKAT A,,0,44.6,,-26.6,,,,,,,,-34.9,,2015,20,1,,M,0,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-21 00:00:00,,6010400.2015.1.21,,,-15.8,0,37,ATTAWAPISKAT A,,0,36.7,,-18.7,,,,,,,,-21.5,T,2015,21,1,,M,27,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-22 00:00:00,,6010400.2015.1.22,,,-10.2,0,37,ATTAWAPISKAT A,,0,35.7,,-17.7,,,,,,,,-25.1,,2015,22,1,,M,18,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-23 00:00:00,,6010400.2015.1.23,,,-5.3,0,43,ATTAWAPISKAT A,,0,25.8,,-7.8,,,,,,,,-10.2,,2015,23,1,,M,32,ON
-82.43194444444444,52.9275,,,6010400,M,2015-01-25 00:00:00,,6010400.2015.1.25,,,-21.2,0,0,ATTAWAPISKAT A,,0,44.6,,-26.6,,,,,,,,-32,,2015,25,1,,M,0,ON
