x,y,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,CLIMATE_IDENTIFIER,TOTAL_RAIN_FLAG,LOCAL_DATE,MIN_TEMPERATURE_FLAG,ID,TOTAL_RAIN,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION,SPEED_MAX_GUST,STATION_NAME,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,TOTAL_SNOW,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,LOCAL_DAY,LOCAL_MONTH,SNOW_ON_GROUND_FLAG,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST,PROVINCE_CODE
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-01 00:00:00,,6128330.2015.4.1,,,4.2,0,32,TOBERMORY RCS,,0,19.5,,-1.5,,,1,,,,,-7.1,,2015,1,4,,M,15,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-02 00:00:00,,6128330.2015.4.2,,,6.6,7.4,48,TOBERMORY RCS,,0,14.5,,3.5,,,1,,,,,0.4,,2015,2,4,,M,18,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-03 00:00:00,,6128330.2015.4.3,,,4.3,0.2,37,TOBERMORY RCS,,0,16.6,,1.4,,,1,,,,,-1.5,,2015,3,4,,M,29,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-04 00:00:00,,6128330.2015.4.4,,,0.6,0,33,TOBERMORY RCS,,0,21,,-3,,,1,,,,,-6.5,,2015,4,4,,M,21,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-05 00:00:00,,6128330.2015.4.5,,,1.3,0,0,TOBERMORY RCS,,0,21.7,,-3.7,,,0,,,,,-8.7,,2015,5,4,T,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-06 00:00:00,,6128330.2015.4.6,,,-0.1,2.7,0,TOBERMORY RCS,,0,19.9,,-1.9,,,1,,,,,-3.7,,2015,6,4,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-07 00:00:00,,6128330.2015.4.7,,,5.5,0,0,TOBERMORY RCS,,0,15.6,,2.4,,,3,,,,,-0.8,,2015,7,4,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-08 00:00:00,,6128330.2015.4.8,,,2.9,0.2,48,TOBERMORY RCS,,0,16.3,,1.7,,,0,,,,,0.5,,2015,8,4,T,M,10,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-09 00:00:00,,6128330.2015.4.9,,,7.5,15,33,TOBERMORY RCS,,0,14.1,,3.9,,,0,,,,,0.2,,2015,9,4,T,M,12,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-10 00:00:00,,6128330.2015.4.10,,,8.6,15,67,TOBERMORY RCS,,0,13.3,,4.7,,,,,,,,0.7,,2015,10,4,,M,27,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-11 00:00:00,,6128330.2015.4.11,,,7.2,0,37,TOBERMORY RCS,,0,14.5,,3.5,,,,,,,,-0.2,,2015,11,4,,M,24,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-12 00:00:00,,6128330.2015.4.12,,,10.4,0,35,TOBERMORY RCS,,0,13.4,,4.6,,,,,,,,-1.3,,2015,12,4,,M,21,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-13 00:00:00,,6128330.2015.4.13,,,14.9,5.4,54,TOBERMORY RCS,,0,10.5,,7.5,,,,,,,,0,,2015,13,4,,M,28,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-14 00:00:00,,6128330.2015.4.14,,,13.2,0,32,TOBERMORY RCS,,0,10.5,,7.5,,,,,,,,1.8,,2015,14,4,,M,27,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-15 00:00:00,,6128330.2015.4.15,,,11.3,0,0,TOBERMORY RCS,,0,13.2,,4.8,,,,,,,,-1.7,,2015,15,4,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-16 00:00:00,,6128330.2015.4.16,,,16.6,0,0,TOBERMORY RCS,,0,8.3,,9.7,,,,,,,,2.7,,2015,16,4,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-17 00:00:00,,6128330.2015.4.17,,,11.5,0,0,TOBERMORY RCS,,0,12.2,,5.8,,,,,,,,0,,2015,17,4,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-18 00:00:00,,6128330.2015.4.18,,,13.1,0,37,TOBERMORY RCS,,0,11.1,,6.9,,,,,,,,0.7,,2015,18,4,,M,1,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-19 00:00:00,,6128330.2015.4.19,,,11.5,0,61,TOBERMORY RCS,,0,11.9,,6.1,,,,,,,,0.6,,2015,19,4,,M,1,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-20 00:00:00,,6128330.2015.4.20,,,9.4,21.2,56,TOBERMORY RCS,,0,12.3,,5.7,,,,,,,,2,,2015,20,4,,M,10,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-21 00:00:00,,6128330.2015.4.21,,,5.9,0.5,37,TOBERMORY RCS,,0,14.6,,3.4,,,,,,,,0.9,,2015,21,4,,M,24,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-22 00:00:00,,6128330.2015.4.22,,,3.4,0.8,37,TOBERMORY RCS,,0,17.5,,0.5,,,0,,,,,-2.4,,2015,22,4,T,M,23,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-23 00:00:00,,6128330.2015.4.23,,,1.7,0,48,TOBERMORY RCS,,0,18.3,,-0.3,,,0,,,,,-2.2,,2015,23,4,T,M,27,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-24 00:00:00,,6128330.2015.4.24,,,2.8,0,44,TOBERMORY RCS,,0,18.4,,-0.4,,,0,,,,,-3.6,,2015,24,4,T,M,28,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-25 00:00:00,,6128330.2015.4.25,,,7.7,0,0,TOBERMORY RCS,,0,16.3,,1.7,,,,,,,,-4.4,,2015,25,4,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-26 00:00:00,,6128330.2015.4.26,,,8.9,0,32,TOBERMORY RCS,,0,13.2,,4.8,,,0,,,,,0.6,,2015,26,4,T,M,30,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-27 00:00:00,,6128330.2015.4.27,,,10.9,0,32,TOBERMORY RCS,,0,11.3,,6.7,,,0,,,,,2.4,,2015,27,4,T,M,1,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-28 00:00:00,,6128330.2015.4.28,,,10.1,0,32,TOBERMORY RCS,,0,11.7,,6.3,,,,,,,,2.5,,2015,28,4,,M,27,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-29 00:00:00,,6128330.2015.4.29,,,11.3,0,32,TOBERMORY RCS,,0,11.8,,6.2,,,,,,,,1.1,,2015,29,4,,M,26,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-04-30 00:00:00,,6128330.2015.4.30,,,16.3,0,32,TOBERMORY RCS,,0,8.2,,9.8,,,,,,,,3.3,,2015,30,4,,M,1,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-01 00:00:00,,6128330.2015.5.1,,,17.5,0,0,TOBERMORY RCS,,0,7.4,,10.6,,,,,,,,3.6,,2015,1,5,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-02 00:00:00,,6128330.2015.5.2,,,15,0,0,TOBERMORY RCS,,0,9.8,,8.2,,,,,,,,1.3,,2015,2,5,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-03 00:00:00,,6128330.2015.5.3,,,16.1,0,43,TOBERMORY RCS,,0,7,,11,,,,,,,,5.8,,2015,3,5,,M,21,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-04 00:00:00,,6128330.2015.5.4,,,12.9,2.8,44,TOBERMORY RCS,,0,9.3,,8.7,,,,,,,,4.5,,2015,4,5,,M,30,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-05 00:00:00,,6128330.2015.5.5,,,17,0,0,TOBERMORY RCS,,0,8,,10,,,,,,,,2.9,,2015,5,5,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-06 00:00:00,,6128330.2015.5.6,,,17.8,0,0,TOBERMORY RCS,,0,7.9,,10.1,,,,,,,,2.4,,2015,6,5,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-07 00:00:00,,6128330.2015.5.7,,,20.2,0,0,TOBERMORY RCS,,0,4.8,,13.2,,,,,,,,6.2,,2015,7,5,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-08 00:00:00,,6128330.2015.5.8,,,17.8,1,37,TOBERMORY RCS,,0,3.9,,14.1,,,,,,,,10.3,,2015,8,5,,M,16,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-09 00:00:00,,6128330.2015.5.9,,,16.2,13.3,0,TOBERMORY RCS,,0,6.2,,11.8,,,,,,,,7.3,,2015,9,5,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-10 00:00:00,,6128330.2015.5.10,,,8.2,8.2,39,TOBERMORY RCS,,0,11.5,,6.5,,,,,,,,4.8,,2015,10,5,,M,5,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-11 00:00:00,,6128330.2015.5.11,,,15.7,15.8,33,TOBERMORY RCS,,0,7.9,,10.1,,,,,,,,4.5,,2015,11,5,,M,6,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-12 00:00:00,,6128330.2015.5.12,,,11,1.1,44,TOBERMORY RCS,,0,10.9,,7.1,,,,,,,,3.1,,2015,12,5,,M,27,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-13 00:00:00,,6128330.2015.5.13,,,9.8,0,32,TOBERMORY RCS,,0,11.8,,6.2,,,,,,,,2.6,,2015,13,5,,M,29,ON
-81.63333333333334,45.233333333333334,M,,6128330,M,2015-05-14 00:00:00,E,6128330.2015.5.14,,,,,0,TOBERMORY RCS,,,,M,,M,,,,,,M,0.5,M,2015,14,5,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-15 00:00:00,,6128330.2015.5.15,,,13.7,6,0,TOBERMORY RCS,,0,8.1,,9.9,,,,,,,,6.1,,2015,15,5,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-16 00:00:00,,6128330.2015.5.16,,,15.2,0.2,0,TOBERMORY RCS,,0,7.6,,10.4,,,,,,,,5.5,,2015,16,5,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-17 00:00:00,,6128330.2015.5.17,,,24.1,0,33,TOBERMORY RCS,,0,2.6,,15.4,,,,,,,,6.6,,2015,17,5,,M,17,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-18 00:00:00,,6128330.2015.5.18,,,20.3,0,43,TOBERMORY RCS,,0,4.7,,13.3,,,,,,,,6.3,,2015,18,5,,M,29,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-19 00:00:00,,6128330.2015.5.19,,,7.3,0,57,TOBERMORY RCS,,0,13.1,,4.9,,,,,,,,2.5,,2015,19,5,,M,27,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-20 00:00:00,,6128330.2015.5.20,,,10,0,33,TOBERMORY RCS,,0,12.5,,5.5,,,,,,,,1,,2015,20,5,,M,29,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-21 00:00:00,,6128330.2015.5.21,,,11.2,0,41,TOBERMORY RCS,,0,12,,6,,,,,,,,0.8,,2015,21,5,,M,31,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-22 00:00:00,,6128330.2015.5.22,,,8.7,0,39,TOBERMORY RCS,,0,12.3,,5.7,,,,,,,,2.6,,2015,22,5,,M,30,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-23 00:00:00,,6128330.2015.5.23,,,13.2,0,39,TOBERMORY RCS,,0,10.4,,7.6,,,,,,,,1.9,,2015,23,5,,M,20,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-24 00:00:00,,6128330.2015.5.24,,,17.6,0,37,TOBERMORY RCS,,0,6.8,,11.2,,,,,,,,4.7,,2015,24,5,,M,24,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-25 00:00:00,,6128330.2015.5.25,,,16.1,16.9,39,TOBERMORY RCS,,0,5.8,,12.2,,,,,,,,8.2,,2015,25,5,,M,15,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-26 00:00:00,,6128330.2015.5.26,,,22.1,4.1,43,TOBERMORY RCS,,0,1.9,,16.1,,,,,,,,10,,2015,26,5,,M,20,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-27 00:00:00,,6128330.2015.5.27,,,18.6,0,44,TOBERMORY RCS,,0,4.6,,13.4,,,,,,,,8.1,,2015,27,5,,M,22,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-28 00:00:00,,6128330.2015.5.28,,,20.6,0,0,TOBERMORY RCS,,0,3,,15,,,,,,,,9.4,,2015,28,5,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-29 00:00:00,,6128330.2015.5.29,,,22.6,0,39,TOBERMORY RCS,,0,0,,18,,,,,,,,13.3,,2015,29,5,,M,15,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-30 00:00:00,,6128330.2015.5.30,,,14.3,6.6,41,TOBERMORY RCS,,0,6.8,,11.2,,,,,,,,8,,2015,30,5,,M,28,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-05-31 00:00:00,,6128330.2015.5.31,,,11,0,37,TOBERMORY RCS,,0,9.5,,8.5,,,,,,,,5.9,,2015,31,5,,M,4,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-01 00:00:00,,6128330.2015.6.1,,,16.6,0,0,TOBERMORY RCS,,0,6.7,,11.3,,,,,,,,5.9,,2015,1,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-02 00:00:00,,6128330.2015.6.2,,,19,0,0,TOBERMORY RCS,,0,6.4,,11.6,,,,,,,,4.1,,2015,2,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-03 00:00:00,,6128330.2015.6.3,,,21.1,0,0,TOBERMORY RCS,,0,4.1,,13.9,,,,,,,,6.7,,2015,3,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-04 00:00:00,,6128330.2015.6.4,,,20.8,0,0,TOBERMORY RCS,,0,2.3,,15.7,,,,,,,,10.6,,2015,4,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-05 00:00:00,,6128330.2015.6.5,,,18.5,0,39,TOBERMORY RCS,,0,4.5,,13.5,,,,,,,,8.5,,2015,5,6,,M,2,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-06 00:00:00,,6128330.2015.6.6,,,15.2,0,0,TOBERMORY RCS,,0,7.5,,10.5,,,,,,,,5.7,,2015,6,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-07 00:00:00,,6128330.2015.6.7,,,19.2,21.5,44,TOBERMORY RCS,,0,4.2,,13.8,,,,,,,,8.4,,2015,7,6,,M,16,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-08 00:00:00,,6128330.2015.6.8,,,17,0,0,TOBERMORY RCS,,0,5,,13,,,,,,,,9,,2015,8,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-09 00:00:00,,6128330.2015.6.9,,,18.8,0,32,TOBERMORY RCS,,0,4.5,,13.5,,,,,,,,8.1,,2015,9,6,,M,28,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-10 00:00:00,,6128330.2015.6.10,,,16.2,17.3,52,TOBERMORY RCS,,0,4.7,,13.3,,,,,,,,10.4,,2015,10,6,,M,28,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-11 00:00:00,,6128330.2015.6.11,,,16.2,0,37,TOBERMORY RCS,,0,5.9,,12.1,,,,,,,,7.9,,2015,11,6,,M,29,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-12 00:00:00,,6128330.2015.6.12,,,14.9,19.3,0,TOBERMORY RCS,,0,6.1,,11.9,,,,,,,,8.8,,2015,12,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-13 00:00:00,,6128330.2015.6.13,,,18.7,1.3,0,TOBERMORY RCS,,0,5,,13,,,,,,,,7.3,,2015,13,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-14 00:00:00,,6128330.2015.6.14,,,18,22.3,0,TOBERMORY RCS,,0,2.2,,15.8,,,,,,,,13.5,,2015,14,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-15 00:00:00,,6128330.2015.6.15,,,20,0.5,0,TOBERMORY RCS,,0,1.4,,16.6,,,,,,,,13.2,,2015,15,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-16 00:00:00,,6128330.2015.6.16,,,17.3,0,0,TOBERMORY RCS,,0,4.5,,13.5,,,,,,,,9.6,,2015,16,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-17 00:00:00,,6128330.2015.6.17,,,21.7,0,0,TOBERMORY RCS,,0,2.4,,15.6,,,,,,,,9.5,,2015,17,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-18 00:00:00,,6128330.2015.6.18,,,20.4,0,37,TOBERMORY RCS,,0,2,,16,,,,,,,,11.6,,2015,18,6,,M,5,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-19 00:00:00,,6128330.2015.6.19,,,17.2,0,32,TOBERMORY RCS,,0,6.4,,11.6,,,,,,,,6,,2015,19,6,,M,4,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-20 00:00:00,,6128330.2015.6.20,,,21.2,0,0,TOBERMORY RCS,,0,4.8,,13.2,,,,,,,,5.2,,2015,20,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-21 00:00:00,,6128330.2015.6.21,,,19.7,0.2,0,TOBERMORY RCS,,0,2.8,,15.2,,,,,,,,10.7,,2015,21,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-22 00:00:00,,6128330.2015.6.22,,,20.7,22.8,37,TOBERMORY RCS,,0,2.8,,15.2,,,,,,,,9.6,,2015,22,6,,M,10,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-23 00:00:00,,6128330.2015.6.23,,,17.8,0,52,TOBERMORY RCS,,0,4.4,,13.6,,,,,,,,9.4,,2015,23,6,,M,29,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-24 00:00:00,,6128330.2015.6.24,,,17.8,0,0,TOBERMORY RCS,,0,5.3,,12.7,,,,,,,,7.6,,2015,24,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-25 00:00:00,,6128330.2015.6.25,,,18,3.3,0,TOBERMORY RCS,,0,4.3,,13.7,,,,,,,,9.4,,2015,25,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-26 00:00:00,,6128330.2015.6.26,,,21.3,0,0,TOBERMORY RCS,,0,2.6,,15.4,,,,,,,,9.4,,2015,26,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-27 00:00:00,,6128330.2015.6.27,,,19.9,0,0,TOBERMORY RCS,,0,2,,16,,,,,,,,12,,2015,27,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-28 00:00:00,,6128330.2015.6.28,,,19.9,0,0,TOBERMORY RCS,,0,2.8,,15.2,,,,,,,,10.4,,2015,28,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-29 00:00:00,,6128330.2015.6.29,,,20.7,0,0,TOBERMORY RCS,,0,3,,15,,,,,,,,9.2,,2015,29,6,,M,0,ON
-81.63333333333334,45.233333333333334,,,6128330,M,2015-06-30 00:00:00,,6128330.2015.6.30,,,23,1,0,TOBERMORY RCS,,0,0.7,,17.3,,,,,,,,11.6,,2015,30,6,,M,0,ON
