x,y,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS,LOCAL_YEAR,LOCAL_DATE,MIN_REL_HUMIDITY,TOTAL_SNOW,STATION_NAME,ID,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,MEAN_TEMPERATURE,LOCAL_DAY,SPEED_MAX_GUST,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,PROVINCE_CODE,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS,SNOW_ON_GROUND,LOCAL_MONTH,SPEED_MAX_GUST_FLAG
-80.02444722222222,44.03225,,33.5,2023,2023-02-04 00:00:00,65,,MONO CENTRE,6157000.2023.2.4,,,-3.8,-15.5,4,50,-27.3,6157000,,,,,,19,,0,81,,ON,,,,0,29,2,
-80.02444722222222,44.03225,,18.9,2023,2023-02-05 00:00:00,63,,MONO CENTRE,6157000.2023.2.5,,,2.1,-0.9,5,46,-3.8,6157000,,,,,,25,,0,89,,ON,,,,0,29,2,
-80.02444722222222,44.03225,,22.9,2023,2023-02-06 00:00:00,61,,MONO CENTRE,6157000.2023.2.6,,,-1.5,-4.9,6,37,-8.3,6157000,,,,,,17,,0,92,,ON,,,,0,28,2,
-80.02444722222222,44.03225,,17.8,2023,2023-02-07 00:00:00,74,,MONO CENTRE,6157000.2023.2.7,,,4.8,0.2,7,64,-4.3,6157000,,,,,,25,,1.7,92,,ON,,,,0,28,2,
-80.02444722222222,44.03225,,16.2,2023,2023-02-08 00:00:00,56,,MONO CENTRE,6157000.2023.2.8,,,4,1.8,8,38,-0.3,6157000,,,,,,30,,0,84,,ON,,,,0,24,2,
-80.02444722222222,44.03225,,16.2,2023,2023-02-09 00:00:00,79,,MONO CENTRE,6157000.2023.2.9,,,4.5,1.8,9,54,-1,6157000,,,,,,26,,35.1,98,,ON,,,,0,23,2,
-80.02444722222222,44.03225,,20.5,2023,2023-02-10 00:00:00,69,,MONO CENTRE,6157000.2023.2.10,,,2,-2.5,10,61,-7,6157000,,,,,,25,,0,90,,ON,,,,0,19,2,
-80.02444722222222,44.03225,,22.6,2023,2023-02-11 00:00:00,60,,MONO CENTRE,6157000.2023.2.11,,,-0.8,-4.6,11,54,-8.3,6157000,,,,,,25,,0,83,,ON,,,,0,19,2,
-80.02444722222222,44.03225,,16.9,2023,2023-02-12 00:00:00,37,,MONO CENTRE,6157000.2023.2.12,,,6.2,1.1,12,41,-4,6157000,,,,,,28,,0,82,,ON,,,,0,19,2,
-80.02444722222222,44.03225,,17.3,2023,2023-02-13 00:00:00,57,,MONO CENTRE,6157000.2023.2.13,,,4.6,0.7,13,48,-3.2,6157000,,,,,,26,,0,91,,ON,,,,0,18,2,
-80.02444722222222,44.03225,,16.1,2023,2023-02-14 00:00:00,38,,MONO CENTRE,6157000.2023.2.14,,,7,1.9,14,,-3.2,6157000,,,,,,,,0,94,,ON,,,,0,18,2,
-80.02444722222222,44.03225,,12.1,2023,2023-02-15 00:00:00,47,,MONO CENTRE,6157000.2023.2.15,,,9.5,5.9,15,72,2.2,6157000,,,,,,26,,2.2,88,,ON,,,,0,15,2,
-80.02444722222222,44.03225,,18.9,2023,2023-02-16 00:00:00,81,,MONO CENTRE,6157000.2023.2.16,,,2.3,-0.9,16,38,-4.1,6157000,,,,,,28,,11.5,96,,ON,,,,0,3,2,
-80.02444722222222,44.03225,,26.6,2023,2023-02-17 00:00:00,69,,MONO CENTRE,6157000.2023.2.17,,,-4.1,-8.6,17,38,-13,6157000,,,,,,36,,2.7,94,,ON,,,,0,5,2,
