x,y,MIN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_SNOW_FLAG,PROVINCE_CODE,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_REL_HUMIDITY,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,STATION_NAME,MAX_REL_HUMIDITY,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_RAIN,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,HEATING_DEGREE_DAYS,ID,MAX_TEMPERATURE,TOTAL_PRECIPITATION,DIRECTION_MAX_GUST,CLIMATE_IDENTIFIER,LOCAL_DATE,LOCAL_YEAR,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,LOCAL_MONTH,LOCAL_DAY,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG
-79.16361666666667,44.098333333333336,,,M,ON,,32,,,4.5,,0,0,,UXBRIDGE WEST,,M,,,,,10.8,6159123.2014.12.24,9.9,10,17,6159123,2014-12-24 00:00:00,2014,7.2,,12,24,,T
-79.16361666666667,44.098333333333336,,,M,ON,,32,,,1.6,,0,0,,UXBRIDGE WEST,,M,,,,,14.9,6159123.2014.12.25,4.5,0,24,6159123,2014-12-25 00:00:00,2014,3.1,,12,25,,T
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,0.1,,0,0,,UXBRIDGE WEST,,M,,,,,15.5,6159123.2014.12.26,4.9,0,0,6159123,2014-12-26 00:00:00,2014,2.5,,12,26,,T
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,2.2,,0,0,,UXBRIDGE WEST,,M,,,,,12.8,6159123.2014.12.27,8.2,0,0,6159123,2014-12-27 00:00:00,2014,5.2,,12,27,,T
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-2.3,,0,0,,UXBRIDGE WEST,,M,,,,,16.8,6159123.2014.12.28,4.7,0,0,6159123,2014-12-28 00:00:00,2014,1.2,,12,28,,T
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-8.1,,,0,,UXBRIDGE WEST,,M,,,,,23.1,6159123.2014.12.29,-2,1,0,6159123,2014-12-29 00:00:00,2014,-5.1,,12,29,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-13.3,,1,0,,UXBRIDGE WEST,,M,,,,,27.6,6159123.2014.12.30,-5.9,0.2,0,6159123,2014-12-30 00:00:00,2014,-9.6,,12,30,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-12,,0,0,,UXBRIDGE WEST,,M,,,,,28,6159123.2014.12.31,-8,0,0,6159123,2014-12-31 00:00:00,2014,-10,,12,31,,T
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-9.8,,1,0,,UXBRIDGE WEST,,M,,,,,24.7,6159123.2015.1.1,-3.6,0,0,6159123,2015-01-01 00:00:00,2015,-6.7,,1,1,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-11.8,,1,0,,UXBRIDGE WEST,,M,,,,,25.7,6159123.2015.1.2,-3.6,0,0,6159123,2015-01-02 00:00:00,2015,-7.7,,1,2,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-11.2,,1,0,,UXBRIDGE WEST,,M,,,,,23.6,6159123.2015.1.3,0.1,8.8,0,6159123,2015-01-03 00:00:00,2015,-5.6,,1,3,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-7.7,,3,0,,UXBRIDGE WEST,,M,,,,,20.6,6159123.2015.1.4,2.5,10.2,0,6159123,2015-01-04 00:00:00,2015,-2.6,,1,4,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-15.6,,2,0,,UXBRIDGE WEST,,M,,,,,29.6,6159123.2015.1.5,-7.6,0.5,0,6159123,2015-01-05 00:00:00,2015,-11.6,,1,5,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-15.5,,2,0,,UXBRIDGE WEST,,M,,,,,30.7,6159123.2015.1.6,-9.8,0,0,6159123,2015-01-06 00:00:00,2015,-12.7,,1,6,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-24.5,,2,0,,UXBRIDGE WEST,,M,,,,,35.8,6159123.2015.1.7,-11,0.5,0,6159123,2015-01-07 00:00:00,2015,-17.8,,1,7,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-18.9,,2,0,,UXBRIDGE WEST,,M,,,,,32.9,6159123.2015.1.8,-10.9,0.3,0,6159123,2015-01-08 00:00:00,2015,-14.9,,1,8,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-14.6,,2,0,,UXBRIDGE WEST,,M,,,,,28.9,6159123.2015.1.9,-7.1,0.5,0,6159123,2015-01-09 00:00:00,2015,-10.9,,1,9,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-17,,2,0,,UXBRIDGE WEST,,M,,,,,32,6159123.2015.1.10,-10.9,0,0,6159123,2015-01-10 00:00:00,2015,-14,,1,10,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-14.6,,1,0,,UXBRIDGE WEST,,M,,,,,26.6,6159123.2015.1.11,-2.6,0,0,6159123,2015-01-11 00:00:00,2015,-8.6,,1,11,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-20,,2,0,,UXBRIDGE WEST,,M,,,,,29.4,6159123.2015.1.12,-2.7,1.4,0,6159123,2015-01-12 00:00:00,2015,-11.4,,1,12,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-24.8,,2,0,,UXBRIDGE WEST,,M,,,,,37.3,6159123.2015.1.13,-13.8,0.2,0,6159123,2015-01-13 00:00:00,2015,-19.3,,1,13,,
-79.16361666666667,44.098333333333336,,,M,ON,M,0,,,-17.1,,,0,,UXBRIDGE WEST,,M,,,,,29.7,6159123.2015.1.14,-6.3,,0,6159123,2015-01-14 00:00:00,2015,-11.7,,1,14,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-16.8,,2,0,,UXBRIDGE WEST,,M,,,,,28.3,6159123.2015.1.15,-3.8,0,0,6159123,2015-01-15 00:00:00,2015,-10.3,,1,15,,
-79.16361666666667,44.098333333333336,E,,M,ON,E,,E,E,-13.2,,2,0,M,UXBRIDGE WEST,,M,,,E,,28.4,6159123.2015.1.16,-7.6,0.2,,6159123,2015-01-16 00:00:00,2015,-10.4,E,1,16,M,
-79.16361666666667,44.098333333333336,M,,M,ON,M,0,M,E,,,,,,UXBRIDGE WEST,,M,,,M,,,6159123.2015.1.17,-2.8,,0,6159123,2015-01-17 00:00:00,2015,,M,1,17,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-1.6,,2,0,,UXBRIDGE WEST,,M,,,,,16.8,6159123.2015.1.18,3.9,3.1,0,6159123,2015-01-18 00:00:00,2015,1.2,,1,18,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-14,,0,0,,UXBRIDGE WEST,,M,,,,,25.8,6159123.2015.1.19,-1.6,0.2,0,6159123,2015-01-19 00:00:00,2015,-7.8,,1,19,,T
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-18,,1,0,,UXBRIDGE WEST,,M,,,,,31.7,6159123.2015.1.20,-9.4,0,0,6159123,2015-01-20 00:00:00,2015,-13.7,,1,20,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-17.3,,1,0,,UXBRIDGE WEST,,M,,,,,29.8,6159123.2015.1.21,-6.2,0.2,0,6159123,2015-01-21 00:00:00,2015,-11.8,,1,21,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-14.5,,1,0,,UXBRIDGE WEST,,M,,,,,26.8,6159123.2015.1.22,-3,0,0,6159123,2015-01-22 00:00:00,2015,-8.8,,1,22,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-6.8,,0,0,,UXBRIDGE WEST,,M,,,,,21.4,6159123.2015.1.23,0.1,0,0,6159123,2015-01-23 00:00:00,2015,-3.4,,1,23,,T
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-6.4,,1,0,,UXBRIDGE WEST,,M,,,,,21.7,6159123.2015.1.24,-0.9,0,0,6159123,2015-01-24 00:00:00,2015,-3.7,,1,24,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-16.1,,2,0,,UXBRIDGE WEST,,M,,,,,28.7,6159123.2015.1.25,-5.3,0,0,6159123,2015-01-25 00:00:00,2015,-10.7,,1,25,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-18,,2,0,,UXBRIDGE WEST,,M,,,,,32,6159123.2015.1.26,-10,0,0,6159123,2015-01-26 00:00:00,2015,-14,,1,26,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-15.4,,2,0,,UXBRIDGE WEST,,M,,,,,29.9,6159123.2015.1.27,-8.3,0.4,0,6159123,2015-01-27 00:00:00,2015,-11.9,,1,27,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-19.4,,1,0,,UXBRIDGE WEST,,M,,,,,29.2,6159123.2015.1.28,-3,0,0,6159123,2015-01-28 00:00:00,2015,-11.2,,1,28,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-7.2,,1,0,,UXBRIDGE WEST,,M,,,,,22.7,6159123.2015.1.29,-2.2,6.9,0,6159123,2015-01-29 00:00:00,2015,-4.7,,1,29,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-19.3,,4,0,,UXBRIDGE WEST,,M,,,,,29.3,6159123.2015.1.30,-3.2,0.6,0,6159123,2015-01-30 00:00:00,2015,-11.3,,1,30,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-22.5,,4,0,,UXBRIDGE WEST,,M,,,,,31.4,6159123.2015.1.31,-4.3,0,0,6159123,2015-01-31 00:00:00,2015,-13.4,,1,31,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-18,,4,0,,UXBRIDGE WEST,,M,,,,,29.5,6159123.2015.2.1,-4.9,3.4,0,6159123,2015-02-01 00:00:00,2015,-11.5,,2,1,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-18.2,,,0,,UXBRIDGE WEST,,M,,,,,33.9,6159123.2015.2.2,-13.5,4.8,0,6159123,2015-02-02 00:00:00,2015,-15.9,,2,2,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-17.2,,,0,,UXBRIDGE WEST,,M,,,,,29.9,6159123.2015.2.3,-6.5,0.3,0,6159123,2015-02-03 00:00:00,2015,-11.9,,2,3,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-12.2,,,0,,UXBRIDGE WEST,,M,,,,,25.8,6159123.2015.2.4,-3.3,1.5,0,6159123,2015-02-04 00:00:00,2015,-7.8,,2,4,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-19.3,,,0,,UXBRIDGE WEST,,M,,,,,33.8,6159123.2015.2.5,-12.2,0,0,6159123,2015-02-05 00:00:00,2015,-15.8,,2,5,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-14,,10,0,,UXBRIDGE WEST,,M,,,,,27.2,6159123.2015.2.6,-4.4,0.7,0,6159123,2015-02-06 00:00:00,2015,-9.2,,2,6,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-12.1,,7,0,,UXBRIDGE WEST,,M,,,,,26.5,6159123.2015.2.7,-4.8,8.8,0,6159123,2015-02-07 00:00:00,2015,-8.5,,2,7,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-15.3,,11,0,,UXBRIDGE WEST,,M,,,,,31.7,6159123.2015.2.8,-12.1,1.3,0,6159123,2015-02-08 00:00:00,2015,-13.7,,2,8,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-15.3,,13,0,,UXBRIDGE WEST,,M,,,,,31.6,6159123.2015.2.9,-11.9,0,0,6159123,2015-02-09 00:00:00,2015,-13.6,,2,9,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-13.1,,12,0,,UXBRIDGE WEST,,M,,,,,27.5,6159123.2015.2.10,-5.9,0,0,6159123,2015-02-10 00:00:00,2015,-9.5,,2,10,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-14.2,,11,0,,UXBRIDGE WEST,,M,,,,,27.2,6159123.2015.2.11,-4.2,1.4,0,6159123,2015-02-11 00:00:00,2015,-9.2,,2,11,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-22.3,,11,0,,UXBRIDGE WEST,,M,,,,,32,6159123.2015.2.12,-5.7,0.5,0,6159123,2015-02-12 00:00:00,2015,-14,,2,12,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-27.2,,8,0,,UXBRIDGE WEST,,M,,,,,37.4,6159123.2015.2.13,-11.5,0,0,6159123,2015-02-13 00:00:00,2015,-19.4,,2,13,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-23.1,,9,0,,UXBRIDGE WEST,,M,,,,,34.1,6159123.2015.2.14,-9,1.1,0,6159123,2015-02-14 00:00:00,2015,-16.1,,2,14,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-28.4,,9,0,,UXBRIDGE WEST,,M,,,,,43.3,6159123.2015.2.15,-22.2,0.2,0,6159123,2015-02-15 00:00:00,2015,-25.3,,2,15,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-28.8,,8,0,,UXBRIDGE WEST,,M,,,,,39.7,6159123.2015.2.16,-14.6,0,0,6159123,2015-02-16 00:00:00,2015,-21.7,,2,16,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-19.8,,8,0,,UXBRIDGE WEST,,M,,,,,32.8,6159123.2015.2.17,-9.8,0,0,6159123,2015-02-17 00:00:00,2015,-14.8,,2,17,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-17,,8,0,,UXBRIDGE WEST,,M,,,,,31.3,6159123.2015.2.18,-9.5,0,0,6159123,2015-02-18 00:00:00,2015,-13.3,,2,18,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-25,,8,0,,UXBRIDGE WEST,,M,,,,,39,6159123.2015.2.19,-17,0,0,6159123,2015-02-19 00:00:00,2015,-21,,2,19,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-25.8,,8,0,,UXBRIDGE WEST,,M,,,,,38.2,6159123.2015.2.20,-14.5,0,0,6159123,2015-02-20 00:00:00,2015,-20.2,,2,20,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-15.6,,9,0,,UXBRIDGE WEST,,M,,,,,29.7,6159123.2015.2.21,-7.7,3.5,0,6159123,2015-02-21 00:00:00,2015,-11.7,,2,21,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-18.7,,12,0,,UXBRIDGE WEST,,M,,,,,30.5,6159123.2015.2.22,-6.3,0.6,0,6159123,2015-02-22 00:00:00,2015,-12.5,,2,22,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-24.4,,12,0,,UXBRIDGE WEST,,M,,,,,38.8,6159123.2015.2.23,-17.2,0.3,0,6159123,2015-02-23 00:00:00,2015,-20.8,,2,23,,
-79.16361666666667,44.098333333333336,,,M,ON,,0,,,-21,,10,0,,UXBRIDGE WEST,,M,,,,,33.8,6159123.2015.2.24,-10.6,0.2,0,6159123,2015-02-24 00:00:00,2015,-15.8,,2,24,,
