x,y,MIN_REL_HUMIDITY_FLAG,MIN_REL_HUMIDITY,LOCAL_DATE,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN_FLAG,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_RAIN,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,LOCAL_DAY,MAX_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE_FLAG,LOCAL_MONTH,TOTAL_SNOW_FLAG,SPEED_MAX_GUST,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,TOTAL_PRECIPITATION,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,MIN_TEMPERATURE,ID,PROVINCE_CODE,STATION_NAME,MEAN_TEMPERATURE,LOCAL_YEAR,MAX_REL_HUMIDITY,TOTAL_SNOW,DIRECTION_MAX_GUST_FLAG
-112.96666666666667,54.28333333333333,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3010010,M,,,M,M,,,3010010.2023.11.2,AB,ABEE AGDM,,2023,,,M
-111.18111277777778,53.11333444444445,,55,2023-11-02 00:00:00,,,,,,17.5,,,2,5.8,,,11,,,3010060,,,0,M,,0,-4.8,3010060.2023.11.2,AB,ALBERT HALL AGCM,0.5,2023,89,,M
-111.77861277777778,52.31527972222222,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3010162,M,,,M,M,,,3010162.2023.11.2,AB,ALLIANCE AGCM,,2023,,,M
-112.27916666666667,53.91694444444445,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3010237,M,,,M,M,,,3010237.2023.11.2,AB,ANDREW AGDM,,2023,,,M
-111.46527972222222,52.58222416666667,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3010650,M,,,M,M,,,3010650.2023.11.2,AB,BELLSHILL AGCM,,2023,,,M
-110.10139138888889,52.12416805555556,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3010730,M,,,M,M,,,3010730.2023.11.2,AB,BODO AGDM,,2023,,,M
-114.44083333333333,53.089444444444446,,65,2023-11-02 00:00:00,,,,,,18,,,2,4,,,11,,,3010816,,,0,M,,0,-4.1,3010816.2023.11.2,AB,BRETON PLOTS,0,2023,93,,M
-113.92166694444444,53.93083472222222,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3010979,M,,,M,M,,,3010979.2023.11.2,AB,BUSBY AGCM,,2023,,,M
-110.51000055555555,52.33416861111111,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3010992,M,,,M,M,,,3010992.2023.11.2,AB,CADOGAN AGCM,,2023,,,M
-112.81666666666666,53.05,,61,2023-11-02 00:00:00,,,,,,17.9,,,2,5.1,,,11,,,3011240,,,0,,,0,-4.8,3011240.2023.11.2,AB,CAMROSE,0.1,2023,96,,
-110.71305638888889,51.936946666666664,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3011815,M,,,M,M,,,3011815.2023.11.2,AB,CONSORT AGDM,,2023,,,M
-111.44944444444444,52.07416666666666,,68,2023-11-02 00:00:00,,,,,,18.6,,,2,3.8,,,11,,,3011887,,,0,,,0,-5,3011887.2023.11.2,AB,CORONATION CLIMATE,-0.6,2023,95,,
-113.90277972222222,52.73277916666667,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3011892,M,,,M,M,,,3011892.2023.11.2,AB,CRESTOMERE AGCM,,2023,,,M
-113.17555722222222,52.18277888888889,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3012050,M,,,M,M,,,3012050.2023.11.2,AB,DELBURNE AGCM,,2023,,,M
-110.58750166666667,53.659168888888885,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3012073,M,,,M,M,,,3012073.2023.11.2,AB,DEWBERRY AGCM,,2023,,,M
-110.43277833333333,52.77777805555556,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3012192,M,,,M,M,,,3012192.2023.11.2,AB,EDGERTON AGCM,,2023,,,M
-113.60583583333333,53.306667222222224,,63,2023-11-02 00:00:00,,,,,,19.3,,,2,4.7,,,11,,,3012206,,,0,,,0,-7.2,3012206.2023.11.2,AB,EDMONTON INTERNATIONAL CS,-1.3,2023,92,,
-113.51666944444445,53.57305777777778,,62,2023-11-02 00:00:00,,,,,,16.1,,,2,5.4,,,11,,,3012209,,,0,,,0,-1.6,3012209.2023.11.2,AB,EDMONTON BLATCHFORD,1.9,2023,86,,
-113.57944444444445,53.31,,65,2023-11-02 00:00:00,,,,,0,19.4,,,2,4.5,,,11,,,3012216,,,0,M,,0,-7.2,3012216.2023.11.2,AB,EDMONTON INTL A,-1.4,2023,99,0,M
-113.53777777777778,53.49001388888889,M,,2023-11-02 00:00:00,M,,,M,,,M,,2,,M,M,11,,,3012220,M,,,M,M,,,3012220.2023.11.2,AB,EDMONTON SOUTH CAMPUS,,2023,,,M
